ttrip_id,expan_fac,expan_fac/10,choice,av1,autodis,autotime,num_cars,parking_fare,congcharg,av2,av3,walktime,walkdis,av4,biketime,bikedis,av5,bus_transittime,bus_transitwalktime,bus_transitinvehtime,bus_transitnumtransfers,bus_fare,av6,rail_transittime,rail_transitwalktime,rail_transitinvehtime,rail_transitnumtransfers,rail_fare,av8,pnk_transittime,pnk_fare,pnk_transitnumtransfers,pnk_transitwalktime
90811810201,433.17,43.317,5,1,4716,834,2,0.47,0,1,1,2576,3465,1,1017,4793,1,1708,1245,462,0,1.3,0,0,0,0,0,0,1,1708,1.3,0,1245
60661710101,546.47,54.647,5,1,11242,1160,1,0.47,0,1,1,8084,11229,1,2193,11242,1,2011,841,1200,0,1.3,0,0,0,0,0,0,1,2011,1.3,0,841
50690410101,872.04,87.204,5,1,2913,444,0,0.47,0,1,1,2146,2900,1,765,3331,1,709,228,480,0,1.3,0,0,0,0,0,0,1,709,1.3,0,228
80671810101,581.16,58.116,5,1,1889,364,0,0.47,0,1,1,1311,1871,1,363,1937,1,519,211,295,0,1.3,0,0,0,0,0,0,1,519,1.3,0,211
60811610101,389.45,38.945,5,1,2795,450,0,0.47,0,1,1,2149,2781,1,675,2795,1,792,264,527,0,1.3,0,0,0,0,0,0,1,792,1.3,0,264
60671910101,315.91,31.591,5,1,2314,386,1,0.47,0,1,1,1645,2314,1,399,2314,1,573,125,447,0,1.3,0,0,0,0,0,0,1,573,1.3,0,125
50761510401,670.45,67.045,5,1,2133,418,2,0.47,0,1,1,1647,2110,1,598,2110,1,917,665,257,0,1.3,0,0,0,0,0,0,1,917,1.3,0,665
60801110101,530.01,53.001,5,1,1756,329,0,0.47,0,1,1,1091,1421,1,368,1434,1,671,325,360,0,1.3,0,0,0,0,0,0,1,671,1.3,0,325
80691810301,413.98,41.398,5,1,3725,439,2,0.47,0,1,1,2884,3671,1,928,3647,1,1803,840,563,1,1.3,0,0,0,0,0,0,1,1803,1.3,1,840
50711610101,445.52,44.552,5,1,4711,710,0,0.47,0,1,1,2345,3315,1,586,3304,1,1239,280,960,0,1.3,0,0,0,0,0,0,1,1239,1.3,0,280
60802210101,562.44,56.244,5,1,2938,433,0,0.47,0,1,1,1691,2359,1,508,2359,1,892,358,520,0,1.3,0,0,0,0,0,0,1,892,1.3,0,358
70802310101,1421.49,142.149,5,1,4855,713,0,0.47,0,1,1,3315,4509,1,840,4543,1,1503,673,819,0,1.3,0,0,0,0,0,0,1,1503,1.3,0,673
80672210301,685.06,68.506,5,1,1861,355,2,0.47,0,1,1,1642,2194,1,500,1937,1,707,469,253,0,1.3,0,0,0,0,0,0,1,707,1.3,0,469
60672810101,388.76,38.876,5,1,2690,372,1,0.47,0,1,1,1915,2650,1,502,2690,1,963,562,416,0,1.3,0,0,0,0,0,0,1,963,1.3,0,562
50691110201,1108.56,110.856,5,1,4222,470,0,0.47,0,1,1,3087,4124,1,855,3816,1,897,201,698,0,1.3,0,0,0,0,0,0,1,897,1.3,0,201
90781110301,365.56,36.556,5,1,5544,752,2,0.47,0,1,1,3409,4454,1,1213,5239,1,2095,1453,641,0,1.3,1,2401,2214,180,0,1.65,1,2248,1.475,0,1833
60781610301,589.52,58.952,5,1,3936,434,1,0.47,0,1,1,2770,3683,1,752,3683,1,1508,503,998,0,1.3,1,1589,1409,180,0,1.45,1,1548.5,1.375,0,956
90681710401,319.94,31.994,5,1,2589,324,2,0.47,0,1,1,1776,2295,1,692,2592,1,1436,1195,218,0,1.3,0,0,0,0,0,0,1,1436,1.3,0,1195
90681210301,341,34.1,5,1,2256,294,2,0.47,0,1,1,1723,2231,1,575,2232,1,506,201,288,0,1.3,0,0,0,0,0,0,1,506,1.3,0,201
50761510301,735.87,73.587,5,1,2382,468,2,0.47,0,1,1,1816,2359,1,634,2359,1,1089,821,260,0,1.3,0,0,0,0,0,0,1,1089,1.3,0,821
90650910401,499.89,49.989,5,1,3794,517,3,0.47,0,1,1,2653,3486,1,1022,4354,1,868,434,432,0,1.3,0,0,0,0,0,0,1,868,1.3,0,434
60681410101,664.75,66.475,5,1,7335,755,1,0.47,0,1,1,4890,6682,1,1440,6682,1,2386,800,1310,1,1.3,0,0,0,0,0,0,1,2386,1.3,1,800
60660210301,354.37,35.437,5,1,7269,679,1,0.47,0,1,1,5585,7267,1,1704,7269,1,1290,738,552,0,1.3,0,0,0,0,0,0,1,1290,1.3,0,738
60660210201,392.97,39.297,5,1,4262,554,1,0.47,0,1,1,3068,4114,1,969,4408,1,1576,985,590,0,1.3,0,0,0,0,0,0,1,1576,1.3,0,985
80422910301,265.24,26.524,5,1,3701,601,2,0.47,0,1,1,2848,3674,1,991,3625,1,1467,1165,300,0,1.3,0,0,0,0,0,0,1,1467,1.3,0,1165
90660610401,273.91,27.391,5,1,1638,223,3,0.47,0,1,1,1321,1603,1,666,1638,1,521,225,267,0,1.3,0,0,0,0,0,0,1,521,1.3,0,225
60662410501,557.68,55.768,5,1,8215,754,2,0.47,0,1,1,5386,7396,1,1586,7409,1,1247,358,871,0,1.3,0,0,0,0,0,0,1,1247,1.3,0,358
60760910301,567.24,56.724,5,1,5363,589,2,0.47,0,1,1,3890,5363,1,939,5371,1,1857,739,797,1,1.3,0,0,0,0,0,0,1,1857,1.3,1,739
1.30781E+11,868.31,86.831,5,1,3162,469,2,0.47,0,1,1,2298,3024,1,689,3162,1,1202,867,361,0,1.3,0,0,0,0,0,0,1,1202,1.3,0,867
1.30711E+11,390.09,39.009,5,1,1979,296,2,0.47,0,1,1,1481,1970,1,475,1977,1,628,301,320,0,1.3,0,0,0,0,0,0,1,628,1.3,0,301
1.3078E+11,342.51,34.251,5,1,2667,381,1,0.47,0,1,1,1918,2662,1,491,2667,1,832,430,416,0,1.3,0,0,0,0,0,0,1,832,1.3,0,430
1.30661E+11,498.23,49.823,5,1,10390,934,2,0.47,0,1,1,6927,9571,1,1932,9584,1,1854,697,1200,0,1.3,0,0,0,0,0,0,1,1854,1.3,0,697
1.30662E+11,450.76,45.076,5,1,3528,456,2,0.47,0,1,1,2108,2761,1,779,2983,1,1263,853,448,0,1.3,0,0,0,0,0,0,1,1263,1.3,0,853
1.30661E+11,353.64,35.364,5,1,8480,885,2,0.47,0,1,1,5927,8181,1,1744,8480,1,1626,966,660,0,1.3,0,0,0,0,0,0,1,1626,1.3,0,966
1.30711E+11,808.16,80.816,5,1,4963,537,1,0.47,0,1,1,3660,4758,1,1107,4949,1,1073,529,543,0,1.3,0,0,0,0,0,0,1,1073,1.3,0,529
1.30661E+11,571.11,57.111,5,1,5559,852,4,0.47,0,1,1,3405,4802,1,929,4917,1,1389,729,657,0,1.3,0,0,0,0,0,0,1,1389,1.3,0,729
1.30681E+11,318.89,31.889,5,1,2915,458,1,0.47,0,1,1,2196,2890,1,687,2891,1,968,674,288,0,1.3,0,0,0,0,0,0,1,968,1.3,0,674
1.30781E+11,286.88,28.688,5,1,5425,594,1,0.47,0,1,1,2938,3867,1,892,4354,1,1643,926,715,0,1.3,1,1469,1123,360,0,1.65,1,1556,1.475,0,1024
1.30781E+11,260.48,26.048,5,1,5425,594,1,0.47,0,1,1,2938,3867,1,892,4354,1,1643,926,715,0,1.3,1,1469,1123,360,0,1.65,1,1556,1.475,0,1024
1.30802E+11,328.36,32.836,5,1,2137,389,1,0.47,0,1,1,1379,1864,1,543,1877,1,660,280,378,0,1.3,0,0,0,0,0,0,1,660,1.3,0,280
1.30681E+11,447.83,44.783,5,1,2915,458,1,0.47,0,1,1,2196,2890,1,687,2891,1,968,674,288,0,1.3,0,0,0,0,0,0,1,968,1.3,0,674
1.20812E+11,947.2,94.72,5,1,6484,820,0,0.47,0,1,1,4221,5442,1,1442,6320,1,1812,853,960,0,1.3,0,0,0,0,0,0,1,1812,1.3,0,853
1.10692E+11,258.9,25.89,5,1,7976,979,0,0.47,0,1,1,5085,6672,1,1762,7487,1,1932,492,1440,0,1.3,0,0,0,0,0,0,1,1932,1.3,0,492
1.2067E+11,338.58,33.858,8,1,4602,616,1,0.47,0,1,1,2977,3893,1,884,3895,1,1301,529,771,0,1.3,0,0,0,0,0,0,1,1301,1.3,0,529
1.10682E+11,659.77,65.977,5,1,3407,469,0,0.47,0,1,1,2381,3348,1,660,3355,1,1049,91,958,0,1.3,1,1527,640,443,1,1.45,1,1288,1.375,0.5,365
1.00712E+11,426.83,42.683,5,1,4825,582,2,0.47,0,1,1,3521,4825,1,935,4946,1,1167,512,648,0,1.3,0,0,0,0,0,0,1,1167,1.3,0,512
1.208E+11,342.7,34.27,5,1,5349,695,0,0.47,0,1,1,3285,4236,1,1208,5087,1,1555,685,870,0,1.3,0,0,0,0,0,0,1,1555,1.3,0,685
1.10692E+11,258.9,25.89,5,1,1187,204,0,0.47,0,1,1,693,921,1,266,1187,1,504,443,60,0,1.3,0,0,0,0,0,0,1,504,1.3,0,443
1.00682E+11,557.49,55.749,5,1,3255,448,1,0.47,0,1,1,2392,3202,1,775,3223,1,1649,942,720,0,1.3,0,0,0,0,0,0,1,1649,1.3,0,942
1.00811E+11,334.5,33.45,5,1,3389,506,0,0.47,0,1,1,2448,3254,1,797,3389,1,1753,1291,460,0,1.3,0,0,0,0,0,0,1,1753,1.3,0,1291
1.10682E+11,590.51,59.051,5,1,3407,469,0,0.47,0,1,1,2381,3348,1,660,3355,1,1049,91,958,0,1.3,1,1527,640,443,1,1.45,1,1288,1.375,0.5,365
1.10782E+11,179.12,17.912,5,1,814,137,0,0.47,0,1,1,559,757,1,189,814,1,472,377,101,0,1.3,0,0,0,0,0,0,1,472,1.3,0,377
1.20671E+11,372.24,37.224,5,1,3190,477,2,0.47,0,1,1,2427,3115,1,756,3117,1,1316,1016,300,0,1.3,0,0,0,0,0,0,1,1316,1.3,0,1016
1.20671E+11,342.7,34.27,5,1,2668,379,1,0.47,0,1,1,2046,2668,1,812,3228,1,1024,734,288,0,1.3,0,0,0,0,0,0,1,1024,1.3,0,734
1.10811E+11,663.35,66.335,5,1,4398,524,0,0.47,0,1,1,3317,4367,1,1033,4480,1,1234,751,482,0,1.3,0,0,0,0,0,0,1,1234,1.3,0,751
1.00712E+11,382.99,38.299,5,1,3335,456,2,0.47,0,1,1,2482,3335,1,703,3456,1,1467,1238,228,0,1.3,0,0,0,0,0,0,1,1467,1.3,0,1238
1.00782E+11,997.42,99.742,5,1,4694,657,2,0.47,0,1,1,3135,4093,1,1036,4541,1,1989,1451,529,0,1.3,1,1691,1504,180,0,1.65,1,1840,1.475,0,1477
1.1081E+11,521.8,52.18,5,1,3735,416,0,0.47,0,1,1,2746,3582,1,864,3721,1,1293,594,686,0,1.3,0,0,0,0,0,0,1,1293,1.3,0,594
1.00812E+11,700.13,70.013,5,1,4311,551,1,0.47,0,1,1,3589,4739,1,993,4341,1,2550,2127,422,0,1.3,0,0,0,0,0,0,1,2550,1.3,0,2127
1.10811E+11,663.35,66.335,5,1,4570,530,0,0.47,0,1,1,3182,4369,1,872,4566,1,1198,727,470,0,1.3,0,0,0,0,0,0,1,1198,1.3,0,727
1.00682E+11,500.23,50.023,5,1,7792,872,1,0.47,0,1,1,5032,6864,1,1696,7872,1,2493,1275,1183,0,1.3,0,0,0,0,0,0,1,2493,1.3,0,1275
1.10761E+11,777.37,77.737,5,1,5770,705,1,0.47,0,1,1,4222,5679,1,1224,6091,1,2587,1427,1160,0,1.3,0,0,0,0,0,0,1,2587,1.3,0,1427
1.2042E+11,523.15,52.315,5,1,1289,263,0,0.47,0,1,1,970,1286,1,316,1289,1,581,355,225,0,1.3,0,0,0,0,0,0,1,581,1.3,0,355
1.20781E+11,667.27,66.727,5,1,2572,380,0,0.47,0,1,1,1794,2423,1,505,2572,1,668,166,521,0,1.3,0,0,0,0,0,0,1,668,1.3,0,166
1.00811E+11,455.08,45.508,5,1,4850,657,1,0.47,0,1,1,3278,4337,1,1138,4848,1,1807,845,960,0,1.3,0,0,0,0,0,0,1,1807,1.3,0,845
1.00811E+11,276.21,27.621,5,1,3006,476,2,0.47,0,1,1,1919,2554,1,637,2568,1,913,378,536,0,1.3,0,0,0,0,0,0,1,913,1.3,0,378
1.10712E+11,361.65,36.165,5,1,3034,435,1,0.47,0,1,1,2332,3014,1,802,3029,1,1260,466,773,0,1.3,0,0,0,0,0,0,1,1260,1.3,0,466
1.20672E+11,320.07,32.007,5,1,1834,244,1,0.47,0,1,1,1265,1687,1,360,1687,1,424,141,282,0,1.3,0,0,0,0,0,0,1,424,1.3,0,141
1.20812E+11,981.8,98.18,5,1,7738,1019,0,0.47,0,1,1,5278,7059,1,1847,8549,1,3196,1259,1670,1,1.3,1,2945,1687,780,1,1.65,1,3070.5,1.475,1,1473
1.20711E+11,673.13,67.313,5,1,4498,685,0,0.47,0,1,1,1899,2708,1,531,2697,1,1144,530,613,0,1.3,0,0,0,0,0,0,1,1144,1.3,0,530
