ttrip_id,oeast,onrth,deast,denrth,expan_fac,expan_fac/10,choice,av1,autodis,autotime,num_cars,parking_fare,congcharg,av2,av3,walktime,walkdis,av4,biketime,bikedis,av5,bus_transittime,bus_transitwalktime,bus_transitinvehtime,bus_transitnumtransfers,bus_fare,av6,rail_transittime,rail_transitwalktime,rail_transitinvehtime,rail_transitnumtransfers,rail_fare,av8,pnk_transittime,pnk_fare,pnk_transitnumtransfers,pnk_transitwalktime
50800110101.00,546374,167545,547726,170309,449.58,44.958,1,1,4182,670,1,0.47,0,1,1,3001,4076,1,798,4182,1,1798,1192,619,0,1.3,0,0,0,0,0,0,1,1798,1.3,0,1192
60661610101.00,542543,158564,542653,158159,419.47,41.947,1,1,694,115,1,0.47,0,1,1,526,694,1,202,694,0,416,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90691710401.00,545579,169613,546848,168550,358.6,35.86,1,1,2069,291,3,0.47,0,1,1,1491,2066,1,433,2080,1,672,470,206,0,1.3,0,0,0,0,0,0,1,672,1.3,0,470
70713010201.00,546691,165535,543210,168258,414.54,41.454,1,1,6432,804,1,0.47,0,1,1,3831,5141,1,1231,5892,1,2063,611,1468,0,1.3,1,2427,2061,360,0,1.65,1,2245,1.475,0,1336
50711710101.00,545386,165787,543802,164935,679.34,67.934,1,1,2108,283,1,0.47,0,1,1,1580,2089,1,445,2104,1,830,529,300,0,1.3,0,0,0,0,0,0,1,830,1.3,0,529
70682310301.00,546113,164605,543210,168258,428.97,42.897,1,1,6922,907,2,0.47,0,1,1,4312,5731,1,1437,6608,1,2452,1403,1053,0,1.3,0,0,0,0,0,0,1,2452,1.3,0,1403
60421810101.00,545653,171472,546344,171760,569.17,56.917,1,1,1191,211,1,0.47,0,1,1,811,1118,1,259,1118,1,631,539,80,0,1.3,0,0,0,0,0,0,1,631,1.3,0,539
50760210201.00,543046,170877,542533,169755,511.94,51.194,1,1,2446,282,1,0.47,0,1,1,1811,2446,1,582,2449,1,1600,1398,209,0,1.3,0,0,0,0,0,0,1,1600,1.3,0,1398
90780810102.00,544391,167544,544818,166520,663.49,66.349,1,1,1365,224,1,0.47,0,1,1,1006,1327,1,296,1365,1,331,128,209,0,1.3,0,0,0,0,0,0,1,331,1.3,0,128
70692110202.00,545560,169376,546511,169312,471.99,47.199,1,1,1288,183,2,0.47,0,1,1,905,1272,1,224,1288,1,523,334,185,0,1.3,0,0,0,0,0,0,1,523,1.3,0,334
80710710201.00,545601,166590,547122,168452,287.81,28.781,1,1,3585,441,2,0.47,0,1,1,2311,3221,1,620,3221,1,1655,1249,406,0,1.3,0,0,0,0,0,0,1,1655,1.3,0,1249
90650910101.00,541487,167936,543195,169421,427.2,42.72,1,1,3039,440,3,0.47,0,1,1,2233,2978,1,706,3390,1,1727,1478,260,0,1.3,1,1803,269,748,1,1.45,1,1765,1.375,0.5,873
50712510203.00,545273,164430,543168,165005,289.42,28.942,1,1,3038,455,2,0.47,0,1,1,2226,2885,1,748,3117,1,668,167,498,0,1.3,0,0,0,0,0,0,1,668,1.3,0,167
60802710201.00,546883,166628,547726,170309,465.68,46.568,1,1,4673,697,1,0.47,0,1,1,3380,4567,1,882,4673,1,1629,903,738,0,1.3,0,0,0,0,0,0,1,1629,1.3,0,903
90672010103.00,543802,164935,545173,165821,223.94,22.394,1,1,1885,280,2,0.47,0,1,1,1363,1875,1,377,1926,1,931,643,269,0,1.3,0,0,0,0,0,0,1,931,1.3,0,643
80672210101.00,543207,165308,543802,164935,689.66,68.966,1,1,951,157,2,0.47,0,1,1,717,951,1,250,951,1,424,308,96,0,1.3,0,0,0,0,0,0,1,424,1.3,0,308
60811010102.00,544822,166769,544076,165825,373.27,37.327,1,1,1635,177,2,0.47,0,1,1,1181,1542,1,359,1635,1,362,158,203,0,1.3,0,0,0,0,0,0,1,362,1.3,0,158
70710910201.00,545579,166265,543014,164968,379.47,37.947,1,1,4590,526,1,0.47,0,1,1,2729,3568,1,913,4137,1,1097,654,444,0,1.3,0,0,0,0,0,0,1,1097,1.3,0,654
70672410101.00,544441,165280,548852,164218,407.22,40.722,1,1,5823,669,1,0.47,0,1,1,4187,5531,1,1346,5901,1,2209,1254,950,0,1.3,0,0,0,0,0,0,1,2209,1.3,0,1254
50783010101.00,545144,166629,544421,167643,1025.77,102.577,1,1,2028,346,1,0.47,0,1,1,1343,1845,1,357,1845,1,1049,850,188,0,1.3,0,0,0,0,0,0,1,1049,1.3,0,850
80801810101.00,547736,165700,546890,164041,321.39,32.139,1,1,3445,394,1,0.47,0,1,1,2329,3083,1,789,3194,1,2025,365,1139,1,1.3,1,2039,417,940,1,1.45,1,2032,1.375,1,391
90780810101.00,543925,167228,544391,167544,663.49,66.349,1,1,769,194,1,0.47,0,1,1,504,697,1,145,746,1,413,344,76,0,1.3,0,0,0,0,0,0,1,413,1.3,0,344
80810110601.00,546064,167466,545845,167071,326.83,32.683,1,1,2246,256,1,0.47,0,1,1,1547,2112,1,450,2112,1,970,829,139,0,1.3,0,0,0,0,0,0,1,970,1.3,0,829
70812010101.00,547444,168449,544612,169787,586.26,58.626,1,1,3560,447,1,0.47,0,1,1,2778,3550,1,950,3560,1,1207,808,397,0,1.3,0,0,0,0,0,0,1,1207,1.3,0,808
60810410101.00,546508,168002,546346,170945,395.66,39.566,1,1,4298,543,2,0.47,0,1,1,3135,4189,1,869,4328,1,1237,608,630,0,1.3,0,0,0,0,0,0,1,1237,1.3,0,608
70671210101.00,542693,166206,543289,167542,421.03,42.103,1,1,3041,414,1,0.47,0,1,1,1564,2144,1,393,2208,1,1308,1141,165,0,1.3,0,0,0,0,0,0,1,1308,1.3,0,1141
80680210101.00,545016,164364,546232,166175,561.06,56.106,1,1,3330,482,1,0.47,0,1,1,2075,2879,1,523,2945,1,799,201,576,0,1.3,0,0,0,0,0,0,1,799,1.3,0,201
50663110102.00,541216,159336,542291,159427,779.46,77.946,1,1,2134,256,0,0.47,0,1,1,1437,1742,1,634,1888,1,813,573,245,0,1.3,0,0,0,0,0,0,1,813,1.3,0,573
80711710301.00,544439,164667,541797,165342,295.66,29.566,1,1,3400,390,1,0.47,0,1,1,2516,3395,1,694,3395,1,1761,1413,350,0,1.3,0,0,0,0,0,0,1,1761,1.3,0,1413
80802810101.00,547301,165829,546808,167601,394,39.4,1,1,2187,329,2,0.47,0,1,1,1527,2187,1,448,2187,1,1270,1178,90,0,1.3,0,0,0,0,0,0,1,1270,1.3,0,1178
90682110101.00,545673,163650,545931,164638,302.28,30.228,1,1,1719,304,1,0.47,0,1,1,1247,1630,1,442,1719,1,356,100,240,0,1.3,0,0,0,0,0,0,1,356,1.3,0,100
90802510101.00,547341,165950,545888,166877,360.18,36.018,1,1,2179,325,1,0.47,0,1,1,1552,2114,1,533,2114,1,1093,649,471,0,1.3,0,0,0,0,0,0,1,1093,1.3,0,649
90800110301.00,547276,167528,544956,170418,486.62,48.662,1,1,5211,661,1,0.47,0,1,1,3891,5100,1,1246,5652,1,1922,1242,662,0,1.3,0,0,0,0,0,0,1,1922,1.3,0,1242
90710810101.00,545236,165726,544014,162501,322.87,32.287,1,1,4521,447,2,0.47,0,1,1,3128,4091,1,1055,4101,1,2148,1135,997,0,1.3,0,0,0,0,0,0,1,2148,1.3,0,1135
90780810104.00,543925,167228,547665,171021,663.49,66.349,1,1,7723,874,1,0.47,0,1,1,5010,6923,1,1331,7416,1,2827,1087,1139,1,1.3,0,0,0,0,0,0,1,2827,1.3,1,1087
60782410102.00,543168,165005,544098,166089,543.25,54.325,1,1,1642,311,2,0.47,0,1,1,1146,1592,1,342,1642,1,619,452,169,0,1.3,0,0,0,0,0,0,1,619,1.3,0,452
70671210301.00,542693,166206,543289,167542,507.81,50.781,1,1,3041,414,1,0.47,0,1,1,1564,2144,1,393,2208,1,1308,1141,165,0,1.3,0,0,0,0,0,0,1,1308,1.3,0,1141
50801010101.00,547222,167723,546370,168404,314.5,31.45,1,1,1766,303,0,0.47,0,1,1,1294,1651,1,510,1849,1,967,772,202,0,1.3,0,0,0,0,0,0,1,967,1.3,0,772
90761210202.00,547166,168651,546430,171622,724.2,72.42,1,1,3939,424,2,0.47,0,1,1,2844,3696,1,876,3724,1,900,195,699,0,1.3,0,0,0,0,0,0,1,900,1.3,0,195
50800310201.00,546462,167414,547332,166105,739.42,73.942,1,1,2474,376,2,0.47,0,1,1,1880,2470,1,638,2474,1,1409,1208,192,0,1.3,0,0,0,0,0,0,1,1409,1.3,0,1208
80810110501.00,546064,167466,545845,167071,409.55,40.955,1,1,2246,256,1,0.47,0,1,1,1547,2112,1,450,2112,1,970,829,139,0,1.3,0,0,0,0,0,0,1,970,1.3,0,829
70781510101.00,544722,167399,547968,165867,678.8,67.88,1,1,4731,564,2,0.47,0,1,1,3172,4227,1,1031,4536,1,2223,321,1266,1,1.3,1,2077,472,1280,1,1.65,1,2150,1.475,1,396
80810710101.00,546685,169182,547213,166614,528.55,52.855,1,1,3447,580,1,0.47,0,1,1,2504,3304,1,787,3539,1,1530,989,540,0,1.3,0,0,0,0,0,0,1,1530,1.3,0,989
80710710102.00,547122,168452,545601,166590,280.61,28.061,1,1,3553,443,2,0.47,0,1,1,2466,3220,1,738,3192,1,1699,853,845,0,1.3,0,0,0,0,0,0,1,1699,1.3,0,853
90672010102.00,542273,165799,543802,164935,223.94,22.394,1,1,2692,360,2,0.47,0,1,1,1864,2379,1,702,2619,1,932,632,300,0,1.3,0,0,0,0,0,0,1,932,1.3,0,632
80810110201.00,546064,167466,545845,167071,412.31,41.231,1,1,2246,256,1,0.47,0,1,1,1547,2112,1,450,2112,1,970,829,139,0,1.3,0,0,0,0,0,0,1,970,1.3,0,829
70711810401.00,545936,165374,543802,164935,435.95,43.595,1,1,2871,407,3,0.47,0,1,1,2208,2851,1,699,2866,1,1243,497,773,0,1.3,0,0,0,0,0,0,1,1243,1.3,0,497
50662210101.00,543876,159176,542044,158688,393.1,39.31,1,1,3402,422,2,0.47,0,1,1,2191,2947,1,634,2947,1,1219,587,600,0,1.3,0,0,0,0,0,0,1,1219,1.3,0,587
70651110401.00,543235,168994,543289,167542,296.42,29.642,1,1,1842,268,1,0.47,0,1,1,1346,1838,1,372,1842,1,992,556,440,0,1.3,0,0,0,0,0,0,1,992,1.3,0,556
80671820101.00,544780,165766,544228,169934,988.3,98.83,1,1,6029,669,1,0.47,0,1,1,4353,5882,1,1201,6122,1,1671,554,1116,0,1.3,1,2333,713,936,2,1.65,1,2002,1.475,1,633
70812010201.00,547444,168449,544587,169860,533.21,53.321,1,1,3775,492,1,0.47,0,1,1,2869,3668,1,1009,3775,1,1298,899,397,0,1.3,0,0,0,0,0,0,1,1298,1.3,0,899
60442010101.00,548176,171005,546899,171133,287.85,28.785,1,1,1776,336,1,0.47,0,1,1,1359,1776,1,479,1842,1,971,756,240,0,1.3,0,0,0,0,0,0,1,971,1.3,0,756
90800110202.00,544956,170418,546171,166114,459.85,45.985,1,1,5704,646,1,0.47,0,1,1,4047,5524,1,1087,5867,1,1604,668,941,0,1.3,0,0,0,0,0,0,1,1604,1.3,0,668
60802710101.00,546883,166628,547726,170309,466.11,46.611,1,1,4673,697,1,0.47,0,1,1,3380,4567,1,882,4673,1,1629,903,738,0,1.3,0,0,0,0,0,0,1,1629,1.3,0,903
70651110201.00,543235,168994,543289,167542,296.42,29.642,1,1,1842,268,1,0.47,0,1,1,1346,1838,1,372,1842,1,992,556,440,0,1.3,0,0,0,0,0,0,1,992,1.3,0,556
90761210201.00,543927,171546,547166,168651,724.2,72.42,1,1,5968,734,2,0.47,0,1,1,4085,5568,1,1171,6616,1,2037,1219,807,0,1.3,0,0,0,0,0,0,1,2037,1.3,0,1219
90690110301.00,544122,168405,544622,166870,294.01,29.401,1,1,2226,343,2,0.47,0,1,1,1389,1869,1,379,1869,1,1185,957,228,0,1.3,0,0,0,0,0,0,1,1185,1.3,0,957
90711610301.00,545897,166344,540562,165786,321.23,32.123,1,1,7813,900,3,0.47,0,1,1,5248,7051,1,1548,7657,1,1925,750,1186,0,1.3,1,2453,1099,1053,1,1.65,1,2189,1.475,0.5,924
80810410401.00,546505,168161,543538,171053,393.93,39.393,1,1,5187,671,1,0.47,0,1,1,3653,4800,1,1173,5108,1,1230,555,676,0,1.3,1,2229,644,960,1,2.25,1,1729.5,1.775,0.5,599
80671820102.00,544228,169934,546977,169670,988.3,98.83,1,1,3984,452,1,0.47,0,1,1,2875,4064,1,721,4369,1,1719,1391,332,0,1.3,0,0,0,0,0,0,1,1719,1.3,0,1391
90672010302.00,542273,165799,543802,164935,218.25,21.825,1,1,2692,360,2,0.47,0,1,1,1864,2379,1,702,2619,1,932,632,300,0,1.3,0,0,0,0,0,0,1,932,1.3,0,632
70711010101.00,545381,166550,546378,166471,465.87,46.587,1,1,1539,251,2,0.47,0,1,1,1065,1524,1,277,1539,1,946,656,289,0,1.3,0,0,0,0,0,0,1,946,1.3,0,656
70780410401.00,543098,168504,542275,168896,138.37,13.837,1,1,1450,180,2,0.47,0,1,1,1038,1401,1,309,1415,1,737,592,144,0,1.3,0,0,0,0,0,0,1,737,1.3,0,592
80712110201.00,544940,165643,543802,164935,292.74,29.274,1,1,1820,301,1,0.47,0,1,1,1317,1801,1,323,1844,1,975,740,233,0,1.3,0,0,0,0,0,0,1,975,1.3,0,740
50711710102.00,543802,164935,545386,165787,679.34,67.934,1,1,2100,304,1,0.47,0,1,1,1505,2089,1,405,2140,1,919,550,350,0,1.3,0,0,0,0,0,0,1,919,1.3,0,550
80811210301.00,545921,168452,542533,169755,807.86,80.786,1,1,4755,647,1,0.47,0,1,1,3626,4755,1,1232,5629,1,2445,1683,475,1,1.3,1,1963,1662,300,0,1.45,1,2204,1.375,0.5,1672
50662210201.00,543876,159176,546454,166762,391.65,39.165,1,1,9440,1106,2,0.47,0,1,1,6488,8916,1,1734,8924,1,2475,1114,1380,0,1.3,0,0,0,0,0,0,1,2475,1.3,0,1114
90780810103.00,544818,166520,543925,167228,663.49,66.349,1,1,1549,208,1,0.47,0,1,1,1122,1519,1,313,1549,1,343,114,236,0,1.3,0,0,0,0,0,0,1,343,1.3,0,114
90673010101.00,544272,165750,545157,166602,223.94,22.394,1,1,2279,297,1,0.47,0,1,1,1589,2187,1,467,2400,1,912,744,167,0,1.3,0,0,0,0,0,0,1,912,1.3,0,744
90802610202.00,546636,168260,547473,167114,459.85,45.985,1,1,1940,310,1,0.47,0,1,1,1365,1812,1,432,1815,1,925,724,199,0,1.3,0,0,0,0,0,0,1,925,1.3,0,724
70650310301.00,541647,167790,542533,169755,597.04,59.704,1,1,3381,474,1,0.47,0,1,1,2084,2733,1,653,2733,1,1958,1884,87,0,1.3,1,2014,1245,480,1,1.45,1,1986,1.375,0.5,1564
80711710101.00,544439,164667,541797,165342,264.18,26.418,1,1,3400,390,1,0.47,0,1,1,2516,3395,1,694,3395,1,1761,1413,350,0,1.3,0,0,0,0,0,0,1,1761,1.3,0,1413
80712110204.00,544738,165822,544306,165419,292.74,29.274,1,1,722,122,1,0.47,0,1,1,526,717,1,132,779,1,502,452,49,0,1.3,0,0,0,0,0,0,1,502,1.3,0,452
90690110102.00,544822,166769,545587,163634,301.67,30.167,1,1,4636,515,2,0.47,0,1,1,2926,3808,1,1065,5332,1,1981,1201,780,0,1.3,0,0,0,0,0,0,1,1981,1.3,0,1201
50662510202.00,541082,160848,541970,158993,453.06,45.306,1,1,2265,280,2,0.47,0,1,1,1748,2265,1,568,2265,1,357,190,213,0,1.3,0,0,0,0,0,0,1,357,1.3,0,190
50711710401.00,545386,165787,543802,164935,757.25,75.725,1,1,2108,283,1,0.47,0,1,1,1580,2089,1,445,2104,1,830,529,300,0,1.3,0,0,0,0,0,0,1,830,1.3,0,529
70682310201.00,546113,164605,543210,168258,355.66,35.566,1,1,6922,907,2,0.47,0,1,1,4312,5731,1,1437,6608,1,2452,1403,1053,0,1.3,0,0,0,0,0,0,1,2452,1.3,0,1403
60660810101.00,543018,159996,542587,159426,392.08,39.208,1,1,2683,393,3,0.47,0,1,1,1980,2683,1,572,2683,1,779,526,282,0,1.3,0,0,0,0,0,0,1,779,1.3,0,526
70781510102.00,547968,165867,544722,167399,678.8,67.88,1,1,4727,572,2,0.47,0,1,1,3076,4157,1,1022,4157,1,1679,372,1031,1,1.3,1,1714,452,940,1,1.65,1,1696.5,1.475,1,412
60690710202.00,546365,166520,546084,169480,489.69,48.969,1,1,4468,508,1,0.47,0,1,1,2990,3966,1,939,4350,1,810,124,685,0,1.3,0,0,0,0,0,0,1,810,1.3,0,124
90671610102.00,543393,169478,540740,166102,301.87,30.187,1,1,5870,732,2,0.47,0,1,1,4362,5841,1,1267,6155,1,2245,446,1500,1,1.3,1,2039,593,1177,1,1.45,1,2142,1.375,1,519
70713010301.00,546691,165535,543210,168258,602.36,60.236,1,1,6432,804,1,0.47,0,1,1,3831,5141,1,1231,5892,1,2063,611,1468,0,1.3,1,2427,2061,360,0,1.65,1,2245,1.475,0,1336
90671610402.00,543393,169478,540740,166102,247.41,24.741,1,1,5870,732,2,0.47,0,1,1,4362,5841,1,1267,6155,1,2245,446,1500,1,1.3,1,2039,593,1177,1,1.45,1,2142,1.375,1,519
50800310401.00,546462,167414,547332,166105,693.06,69.306,1,1,2474,376,2,0.47,0,1,1,1880,2470,1,638,2474,1,1409,1208,192,0,1.3,0,0,0,0,0,0,1,1409,1.3,0,1208
80691810201.00,546677,170028,543196,161610,463.51,46.351,1,1,12268,1305,2,0.47,0,1,1,8041,10374,1,2785,11212,1,2741,400,1665,1,1.3,0,0,0,0,0,0,1,2741,1.3,1,400
80810410301.00,546505,168161,543538,171053,393.93,39.393,1,1,5187,671,1,0.47,0,1,1,3653,4800,1,1173,5108,1,1230,555,676,0,1.3,1,2229,644,960,1,2.25,1,1729.5,1.775,0.5,599
60681710101.00,546953,165728,546331,166459,621.78,62.178,1,1,1536,240,1,0.47,0,1,1,938,1330,1,270,1369,1,645,358,264,0,1.3,0,0,0,0,0,0,1,645,1.3,0,358
80691810105.00,546677,170028,543196,161610,522.24,52.224,1,1,12268,1305,2,0.47,0,1,1,8041,10374,1,2785,11212,1,2741,400,1665,1,1.3,0,0,0,0,0,0,1,2741,1.3,1,400
50781310101.00,544119,167605,543538,171053,674.52,67.452,1,1,5241,596,1,0.47,0,1,1,3663,4875,1,1104,4987,1,1482,389,1092,0,1.3,1,2246,690,635,1,1.65,1,1864,1.475,0.5,539
70811910101.00,547372,168301,545253,168064,624.03,62.403,1,1,2794,435,1,0.47,0,1,1,1932,2487,1,783,2904,1,1304,814,480,0,1.3,0,0,0,0,0,0,1,1304,1.3,0,814
90802410201.00,547045,167174,544418,167487,233.02,23.302,1,1,4180,539,1,0.47,0,1,1,2528,3294,1,924,3563,1,1184,697,485,0,1.3,1,1475,404,703,1,1.65,1,1329.5,1.475,0.5,550
90802610201.00,547473,167114,546636,168260,459.85,45.985,1,1,1944,320,1,0.47,0,1,1,1348,1789,1,449,1819,1,911,631,265,0,1.3,0,0,0,0,0,0,1,911,1.3,0,631
50801110102.00,544524,167644,547447,167777,153.54,15.354,1,1,3701,494,1,0.47,0,1,1,2522,3449,1,739,3701,1,1290,776,512,0,1.3,1,1841,403,1053,1,1.65,1,1565.5,1.475,0.5,589
50760410403.00,543255,167648,546716,168395,690.93,69.093,1,1,5137,615,2,0.47,0,1,1,2918,3937,1,912,4487,1,1550,748,802,0,1.3,0,0,0,0,0,0,1,1550,1.3,0,748
70781810202.00,544251,170018,545522,167607,700.66,70.066,1,1,3215,354,2,0.47,0,1,1,2327,3200,1,628,3214,1,614,277,341,0,1.3,0,0,0,0,0,0,1,614,1.3,0,277
90673010501.00,544272,165750,545157,166602,183.54,18.354,1,1,2279,297,1,0.47,0,1,1,1589,2187,1,467,2400,1,912,744,167,0,1.3,0,0,0,0,0,0,1,912,1.3,0,744
70670410102.00,544822,166769,547110,167293,463.74,46.374,1,1,3010,404,2,0.47,0,1,1,1993,2751,1,650,3010,1,1356,546,808,0,1.3,0,0,0,0,0,0,1,1356,1.3,0,546
70781810201.00,545522,167607,544251,170018,700.66,70.066,1,1,3337,365,2,0.47,0,1,1,2412,3200,1,629,3200,1,716,315,401,0,1.3,0,0,0,0,0,0,1,716,1.3,0,315
70682310202.00,543210,168258,546113,164605,355.66,35.566,1,1,6945,965,2,0.47,0,1,1,4373,5732,1,1443,6628,1,2575,1810,764,0,1.3,0,0,0,0,0,0,1,2575,1.3,0,1810
60811010103.00,544076,165825,547726,170309,373.27,37.327,1,1,8038,1053,2,0.47,0,1,1,5648,7665,1,1678,8562,1,2533,786,1456,1,1.3,0,0,0,0,0,0,1,2533,1.3,1,786
80710710101.00,545601,166590,547122,168452,280.61,28.061,1,1,3585,441,2,0.47,0,1,1,2311,3221,1,620,3221,1,1655,1249,406,0,1.3,0,0,0,0,0,0,1,1655,1.3,0,1249
